model,hp_name,hp_value,seed,train_auc,val_auc,train_f1,val_f1,train_time_s,generalization_gap,tree_avg_depth,tree_avg_nodes
catboost,l2_leaf_reg,1,42,0.8923021168249484,0.8356842078069702,0.6212349397590361,0.5663189269746647,18.18598771095276,0.05661790901797825,0.0,1.0
catboost,l2_leaf_reg,1,7,0.9000936519492776,0.8554883877134515,0.6911111111111111,0.6242603550295858,20.477587461471558,0.044605264235826114,0.0,1.0
catboost,l2_leaf_reg,1,2023,0.8956436894827812,0.8446239892531453,0.6718255364052058,0.5771604938271605,21.310828924179077,0.05101970022963587,0.0,1.0
catboost,l2_leaf_reg,3,42,0.8907526174467358,0.8351468650701388,0.5996055226824457,0.5558912386706949,18.875518798828125,0.05560575237659704,0.0,1.0
catboost,l2_leaf_reg,3,7,0.9006033641978053,0.8575886744684699,0.6738165680473372,0.6067073170731707,19.005550146102905,0.04301468972933542,0.0,1.0
catboost,l2_leaf_reg,3,2023,0.8897525859331378,0.8477744193856726,0.6476521739130435,0.5801526717557252,20.347720623016357,0.04197816654746522,0.0,1.0
catboost,l2_leaf_reg,5,42,0.9013781946910091,0.8382572528352579,0.6475471698113208,0.5739644970414202,17.987865209579468,0.06312094185575123,0.0,1.0
catboost,l2_leaf_reg,5,7,0.9035944894837508,0.8581544343692682,0.703202846975089,0.6179104477611941,17.84758234024048,0.04544005511448257,0.0,1.0
catboost,l2_leaf_reg,5,2023,0.8873488256336455,0.8533764757549924,0.6678047115056334,0.5735512630014858,17.625312566757202,0.03397234987865305,0.0,1.0
catboost,l2_leaf_reg,10,42,0.892641655643641,0.8363068020357023,0.6270676691729323,0.5520361990950227,17.720438241958618,0.05633485360793866,0.0,1.0
catboost,l2_leaf_reg,10,7,0.8648602371923485,0.8632256064481127,0.6383123511398435,0.616793893129771,17.703280448913574,0.0016346307442357544,0.0,1.0
catboost,l2_leaf_reg,10,2023,0.8852976944166792,0.8518522824149423,0.6523297491039427,0.5869894099848714,17.651920318603516,0.033445412001736896,0.0,1.0
catboost,l2_leaf_reg,20,42,0.8654934181022188,0.8452969593634556,0.6086320409656182,0.5799701046337817,17.480472326278687,0.02019645873876319,0.0,1.0
catboost,l2_leaf_reg,20,7,0.8933602464848197,0.8617866645999639,0.6629670736219015,0.6210045662100456,17.720556497573853,0.03157358188485582,0.0,1.0
catboost,l2_leaf_reg,20,2023,0.8973457469975217,0.8544033687256194,0.6779295470884256,0.5900151285930408,17.192646503448486,0.04294237827190228,0.0,1.0
