model,hp_name,hp_value,seed,train_auc,val_auc,train_f1,val_f1,train_time_s,n_features_used,approx_total_nodes,approx_nonzero_leaves
xgb,reg_alpha,0.0,42,0.9732228956794856,0.8232129478932548,0.8312324929971989,0.5555555555555556,17.550888776779175,41,16918,8609
xgb,reg_alpha,0.0,7,0.9743816264410399,0.8374886977188766,0.8391560013836042,0.5929203539823009,29.587759017944336,39,18026,9163
xgb,reg_alpha,0.0,2023,0.9751846575643544,0.8257756594073729,0.8464471403812825,0.5797950219619327,20.1692898273468,38,18150,9225
xgb,reg_alpha,0.01,42,0.9766611100382124,0.8197124699682244,0.8444135050469892,0.5672937771345875,21.33731174468994,41,17970,9135
xgb,reg_alpha,0.01,7,0.9744694604952806,0.8414102663463279,0.8449050086355786,0.5982404692082112,20.755056142807007,39,18410,9355
xgb,reg_alpha,0.01,2023,0.9738201995699605,0.8215582939368105,0.8414127423822715,0.5747126436781609,23.817083597183228,38,18134,9217
xgb,reg_alpha,0.1,42,0.9786887272627369,0.8224702265622982,0.8548721492743607,0.5681492109038737,15.000801801681519,40,18828,9564
xgb,reg_alpha,0.1,7,0.9772996240185332,0.8359464207290295,0.8570439598476982,0.5904486251808972,16.276447057724,38,19384,9842
xgb,reg_alpha,0.1,2023,0.9766942397182846,0.8232555736392053,0.845993031358885,0.5722543352601156,17.548609256744385,38,18396,9348
xgb,reg_alpha,0.5,42,0.9794372964241763,0.8227246893487302,0.8637302133516862,0.5618631732168851,17.237333297729492,39,21450,10875
xgb,reg_alpha,0.5,7,0.9819863424914005,0.8379872897775711,0.870889581169955,0.5928057553956835,17.530664682388306,39,22438,11369
xgb,reg_alpha,0.5,2023,0.9792870816064826,0.8213787491281098,0.8617718028266115,0.5751445086705202,17.085570573806763,34,22146,11223
xgb,reg_alpha,1.0,42,0.9809359700249118,0.82335503371309,0.8644892286309938,0.5531295487627366,19.85344624519348,39,24468,12384
xgb,reg_alpha,1.0,7,0.9792598506255449,0.8377754527370896,0.863369076444137,0.583941605839416,18.947945833206177,36,23932,12116
xgb,reg_alpha,1.0,2023,0.978108957861471,0.8235849544033688,0.8590323703445876,0.5710102489019033,18.425909996032715,34,23508,11904
