param_value,seed,rmse_train,rmse_val,train_time_sec,depth,n_trees,nodes_per_tree,leaves_per_tree
0.0,0,0.07691617253845051,0.11058349871032133,0.7691278457641602,5,,63,32
0.0,42,0.07555323517001457,0.1092970157803977,0.49308013916015625,5,,63,32
0.0,123,0.07573414740056146,0.10876965577562292,0.3388640880584717,5,,63,32
0.5,0,0.07691617253845051,0.11058349871032133,0.3312861919403076,5,,63,32
0.5,42,0.07555323517001457,0.1092970157803977,0.33941650390625,5,,63,32
0.5,123,0.07573414740056146,0.10876965577562292,0.3198997974395752,5,,63,32
1.0,0,0.07691617253845051,0.11058349871032133,0.3005106449127197,5,,63,32
1.0,42,0.07555323517001457,0.1092970157803977,0.3032047748565674,5,,63,32
1.0,123,0.07573414740056146,0.10876965577562292,0.3529536724090576,5,,63,32
2.0,0,0.07691617253845051,0.11058349871032133,0.34213733673095703,5,,63,32
2.0,42,0.07555323517001457,0.1092970157803977,0.31621646881103516,5,,63,32
2.0,123,0.07573414740056146,0.10876965577562292,0.31218886375427246,5,,63,32
5.0,0,0.07691617253845051,0.11058349871032133,0.31968116760253906,5,,63,32
5.0,42,0.07555323517001457,0.1092970157803977,0.3803987503051758,5,,63,32
5.0,123,0.07573414740056146,0.10876965577562292,0.6405251026153564,5,,63,32
