depth,seed,rmse_val,train_time_sec,n_trees,nodes_per_tree
3,0,0.7262837667303728,0.2416214942932129,,15
3,42,0.7252199845029383,0.2422773838043213,,15
3,123,0.7263510254650833,0.24030685424804688,,15
5,0,0.6979526602247105,0.38325071334838867,,63
5,42,0.6965468279528091,0.39869022369384766,,63
5,123,0.6957620409541638,0.3552377223968506,,63
7,0,0.6863760967022151,0.6135811805725098,,255
7,42,0.6893753537344932,0.846304178237915,,255
7,123,0.6930253537801795,1.164428949356079,,255
9,0,0.6901482967722107,2.0989959239959717,,1023
9,42,0.6907494915587109,1.4770054817199707,,1023
9,123,0.6901699139592554,1.4638416767120361,,1023
