param_value,seed,rmse_train,rmse_val,train_time_sec,num_features_used,num_leaves,num_nodes
0.0,0,0.029487318193322475,0.11879958991775234,0.5466673374176025,77,5014,9828
0.0,42,0.029487318193322475,0.11879958991775234,0.6566214561462402,77,5014,9828
0.0,123,0.029487318193322475,0.11879958991775234,0.2725374698638916,77,5014,9828
0.01,0,0.031119228093346447,0.11713354856313811,0.18739986419677734,77,4933,9666
0.01,42,0.031119228093346447,0.11713354856313811,0.2501339912414551,77,4933,9666
0.01,123,0.031119228093346447,0.11713354856313811,0.2584407329559326,77,4933,9666
0.1,0,0.029678284062245576,0.11896203765102947,0.292069673538208,75,5508,10816
0.1,42,0.029678284062245576,0.11896203765102947,0.2793393135070801,75,5508,10816
0.1,123,0.029678284062245576,0.11896203765102947,0.22686314582824707,75,5508,10816
0.5,0,0.041238528120066585,0.11720478666108061,0.3043344020843506,75,5004,9808
0.5,42,0.041238528120066585,0.11720478666108061,0.25560712814331055,75,5004,9808
0.5,123,0.041238528120066585,0.11720478666108061,0.2715728282928467,75,5004,9808
1.0,0,0.05539673268170227,0.11658037414074493,0.3465573787689209,74,3856,7512
1.0,42,0.05539673268170227,0.11658037414074493,0.6911466121673584,74,3856,7512
1.0,123,0.05539673268170227,0.11658037414074493,1.0314929485321045,74,3856,7512
