Humidity Level,Temperature,Time of Day,Luring Success,Time Spent Hunting,Prey Size,Ambush,Food Availability,Predator Presence,Is Competition,Hunting Success
0.32,31.25,Morning,True,0.81,6.6,False,,True,False,0
0.66,29.08,Afternoon,False,2.81,5.38,False,Low,False,False,1
0.61,25.74,Evening,True,3.79,15.189245757401972,True,Low,False,False,1
0.37,22.68,Morning,False,4.27,5.06,True,Low,True,False,1
0.65,29.2,Afternoon,False,3.84,2.71,False,High,False,False,1
0.82,23.01,Afternoon,True,0.52,2.44,True,,False,False,0
0.86,29.92,Evening,False,1.67,6.32,False,High,False,False,1
0.47,28.98,Afternoon,False,8.845675037476138,6.0,True,,True,True,1
0.85,34.51,Morning,False,2.18,6.33,False,Low,True,False,0
0.76,25.41,Afternoon,False,1.94,4.99,False,Medium,,True,0
0.81,31.93,Afternoon,True,2.04,9.77,True,Low,True,False,0
0.81,27.78,Evening,False,2.67,8.33,False,High,False,True,0
0.48,22.55,Evening,False,0.64,7.12,False,Low,False,True,0
0.77,30.71,Morning,False,4.84,4.85,False,Low,True,True,0
0.78,23.52,Morning,False,3.08,6.33,False,Low,False,False,0
0.9,31.29,Morning,False,2.27,4.52,False,High,True,True,0
0.54,23.43,Evening,False,4.21,2.0,True,Low,,True,1
0.9,20.2,Afternoon,False,4.21,2.14,False,High,False,False,1
0.42,22.51,Afternoon,True,1.1,3.6,False,Low,,True,0
0.9,34.13,Afternoon,False,0.79,4.15,True,Low,False,True,0
0.84,23.2,Morning,False,2.89,8.7,True,,True,False,1
0.84,30.27,Morning,True,0.4,7.33,False,Medium,True,True,0
0.85,33.59,Morning,True,0.87,4.47,True,Medium,True,True,0
0.48,26.85,Morning,True,4.36,5.59,False,High,False,False,1
0.44,27.86,Morning,True,0.84,8.83,True,High,False,False,1
0.56,30.67,Morning,True,0.86,8.959682994439525,True,High,,False,1
0.78,21.43,Morning,False,2.98,8.29,True,Medium,True,False,1
0.86,30.86,Morning,True,4.59,7.57,True,Low,True,True,1
0.45,27.48,Morning,True,3.61,1.97,True,Low,True,False,1
0.65,25.94,Morning,False,4.3,4.69,True,,True,False,1
0.47,24.75,Evening,False,0.63,11.158673787796541,True,Medium,,True,0
0.32,25.82,Evening,True,1.03,9.994120153260171,True,Low,False,True,0
0.37,29.49,Afternoon,False,4.55,8.14,True,,,True,1
0.71,34.59,Afternoon,False,3.47,7.36,True,High,False,True,1
0.44,29.14,Morning,True,4.52,7.19,True,High,False,False,1
0.46,24.24,Evening,True,0.57,1.86,False,High,True,True,0
0.75,29.17,Morning,False,3.56,5.0,True,Low,False,False,1
0.85,26.47,Evening,True,2.97,1.32,True,Low,False,False,0
0.42,28.48,Afternoon,True,1.92,2.25,False,Medium,False,False,1
0.81,23.24,Afternoon,True,3.7,8.16,False,High,True,False,0
0.69,25.99,Morning,True,4.06,7.76,False,Medium,True,False,1
0.6,21.54,Morning,True,2.6128188853121923,3.78,False,,False,False,1
0.49,33.53,Evening,True,1.39,2.55,False,Medium,True,True,0
0.46,30.18,Morning,True,1.74,4.0,False,High,False,True,0
0.82,20.81,Afternoon,False,3.72,9.63,True,Low,True,False,1
0.85,24.78,Evening,False,3.96,3.11,True,Low,False,True,0
0.53,21.21,Afternoon,False,3.96,6.86,True,Medium,True,True,1
0.38,29.32,Evening,True,1.96,6.87,True,Medium,,True,0
0.76,23.81,Morning,False,1.16,7.66,True,High,,True,0
0.58,24.37,Morning,False,4.4,4.18,False,High,False,True,1
0.31,21.25,Evening,False,4.25,4.23,True,,True,False,0
0.81,20.77,Evening,False,3.57,8.27,True,Low,False,,1
0.61,29.48,Evening,True,0.9031033254394654,6.77,True,High,False,False,1
0.87,21.04,Morning,False,1.05,8.95,True,Medium,True,True,0
0.74,31.06,Afternoon,True,4.859422784531995,2.58,False,Low,True,False,0
0.75,32.73,Morning,True,2.53,5.38,True,High,True,True,1
0.43,23.98,Evening,True,1.92,2.94,False,Low,True,True,0
0.85,28.84,Morning,True,2.46,1.14,False,High,True,True,1
0.65,33.47,Afternoon,True,5.483784247684544,8.68,True,,False,,1
0.84,31.01,Evening,True,1.85,8.05,False,,True,False,0
0.61,32.85,Afternoon,True,4.21,4.69,False,Low,True,False,1
0.75,31.06,Afternoon,False,4.82,6.68,False,Low,True,True,0
0.7,26.77,Evening,True,0.79,6.97,False,Medium,True,False,1
0.42,21.61,Afternoon,False,2.2897662379236907,9.2,True,Medium,False,True,0
0.77,33.82,Morning,False,4.72,6.8,False,Low,,False,0
0.89,34.74,Evening,False,3.46,7.82,False,High,False,True,0
0.47,21.64,Evening,True,1.37,4.9,True,High,True,False,0
0.6,25.97,Evening,True,0.74,4.69,False,Medium,True,,1
0.78,33.75,Morning,False,4.07,1.71,True,Low,True,True,0
0.78,29.87,Evening,False,1.2,6.86,True,High,True,False,0
0.57,27.2,Morning,False,2.3,5.31,True,Low,False,False,1
0.67,31.98,Evening,True,3.34,4.18,True,Low,,True,1
0.83,33.47,Evening,True,3.26,4.45,False,Medium,True,True,0
0.38,26.76,Morning,True,1.05,5.89,False,Low,True,False,1
0.41,22.15,Afternoon,False,2.05,5.44,False,Low,,False,0
0.49,29.36,Afternoon,True,2.93,3.64,False,Medium,False,True,1
0.74,33.09,Evening,True,4.31,8.89,False,Medium,False,,0
0.34,32.17,Evening,False,0.94,6.66,False,Medium,False,True,0
0.38,34.03,Morning,True,4.28,3.23,False,High,True,,0
0.39,29.78,Afternoon,False,4.72,4.95,False,High,True,True,0
0.81,22.03,Afternoon,False,1.43,8.3,False,Low,False,False,0
0.6,27.29,Evening,True,1.63,8.66,True,Low,True,False,1
0.82,29.35,Afternoon,True,4.35,9.12,True,Low,False,True,1
0.71,34.48,Afternoon,False,4.52,7.31,True,High,True,True,1
0.41,20.75,Morning,True,1.81,9.7,True,Medium,False,True,0
0.71,27.76,Afternoon,True,4.31,3.61,True,Low,True,False,1
0.53,25.95,Morning,True,4.39,7.27,True,Medium,False,False,1
0.44,23.82,Afternoon,False,4.62,9.31,True,Medium,True,False,1
0.42,25.78,Evening,True,2.18,7.55,True,Low,True,False,1
0.49,20.83,Evening,True,1.81,1.86,False,Medium,True,True,0
0.42,23.59,Evening,True,4.03,2.4,True,Medium,True,True,0
0.35,34.82,Afternoon,False,4.13,5.37,True,Low,False,False,1
0.64,28.69,Evening,True,0.44,5.7,False,High,True,True,1
0.46,30.07,Afternoon,False,2.23,3.65,False,Medium,,False,0
0.81,24.63,Afternoon,False,0.92,3.94,True,Medium,True,True,0
0.48,29.4,Morning,False,5.315802361547462,4.72,False,Medium,True,False,0
0.71,30.96,Afternoon,False,0.68,4.66,True,Medium,True,False,0
0.45,32.44,Afternoon,True,0.58,1.51,True,Medium,False,,0
0.79,26.19,Evening,True,3.35,3.13,True,Medium,True,False,0
0.78,33.65,Afternoon,True,2.06,5.65,True,,False,True,1
0.42,23.09,Evening,True,4.21,3.34,True,Low,False,False,0
0.33,25.5,Afternoon,False,1.87,3.06,False,Low,,False,0
0.58,30.68,Morning,True,3.86,3.87,True,Low,True,True,1
0.56,26.51,Evening,True,3.1,8.66,False,Low,False,False,1
0.62,22.9,Evening,False,3.96,2.59,True,Low,True,False,1
0.69,29.71,Evening,False,0.65,1.83,False,Low,True,False,1
0.41,33.15,Afternoon,False,3.26,8.77,False,Medium,False,False,0
0.43,26.28,Morning,True,4.05,8.31,False,High,False,True,1
0.58,30.48,Morning,True,3.22,7.51,True,Medium,True,False,1
0.79,34.54,Evening,False,4.86,1.51,True,Medium,False,False,0
0.46,26.56,Evening,True,1.35,6.36,True,Low,False,False,0
0.67,32.55,Evening,False,3.63,9.14,True,Low,True,False,1
0.51,33.78,Evening,True,0.94,5.63,False,Medium,False,False,1
0.43,21.57,Afternoon,True,2.32,2.49,False,High,True,,0
0.49,30.29,Afternoon,True,1.3,1.82,True,Medium,True,False,0
0.81,32.63,Evening,False,2.62,7.36,False,High,True,True,0
0.67,31.96,Afternoon,False,3.68,1.35,False,Medium,,True,1
0.85,24.81,Evening,True,1.03,4.56,True,Low,False,False,0
0.71,26.35,Afternoon,False,1.51,3.45,True,Low,False,True,0
0.39,21.27,Morning,False,3.43,8.13,False,Medium,False,False,0
0.38,26.88,Morning,False,4.5,1.11,True,Low,False,True,0
0.75,23.54,Morning,False,3.0,7.96,False,,,,0
0.79,25.43,Morning,False,1.88,9.59,False,High,False,,1
0.84,20.09,Morning,False,4.39,9.85,True,Medium,True,True,1
0.87,32.5,Evening,True,3.01,5.75,False,,False,,0
0.49,28.22,Afternoon,False,1.97,9.03,True,Low,False,True,0
0.55,28.43,Evening,True,3.53,4.39,True,High,False,True,1
0.42,23.29,Afternoon,True,2.82,6.41,False,Low,True,True,0
0.51,31.42,Evening,False,4.47,2.332928501927829,False,Medium,,False,0
0.38,34.77,Morning,False,2.66,6.95,True,High,True,True,1
0.52,25.21,Morning,False,3.21,4.96,True,High,False,False,1
0.45,30.47,Evening,False,4.79,7.61,False,Medium,True,True,0
0.44,21.73,Afternoon,False,3.79,4.8,True,Medium,,True,0
0.45,27.96,Evening,False,3.35,5.38,False,Medium,True,False,0
0.46,30.72,Evening,True,0.5,8.73,True,,True,,0
0.39,20.69,Afternoon,False,3.86,5.64,False,Medium,True,,0
0.35,27.36,Evening,True,1.8,1.98,False,Low,,True,0
0.78,30.43,Evening,True,4.12,8.08,True,Low,False,False,1
0.67,27.14,Evening,True,4.45,6.55,False,,False,True,1
0.61,22.21,Afternoon,False,1.76,8.13,False,High,True,False,1
0.57,24.27,Afternoon,True,0.68,4.73,True,Medium,False,False,1
0.47,26.62,Morning,False,2.16,14.26252291134079,True,High,True,False,1
0.47,26.03,Morning,False,3.86,4.060159944674233,True,Low,False,False,0
0.55,32.84,Evening,False,2.84,1.55,True,Low,True,False,1
0.56,34.04,Evening,False,2.55,7.59,True,Medium,False,False,1
0.86,32.5,Morning,True,0.65,3.33,False,Low,False,False,0
0.41,27.88,Morning,False,1.89,2.985546011534974,True,Medium,True,False,0
0.34,31.02,Evening,True,2.3,8.12,True,Medium,False,False,1
0.74,29.74,Afternoon,True,4.837777114595796,7.766650069167373,False,Low,True,True,1
0.6,24.82,Morning,False,0.65,3.87,True,Medium,False,False,1
0.76,22.45,Morning,True,2.46,13.579075589934318,False,Medium,True,,0
0.34,23.61,Evening,True,0.78,4.6,True,Medium,False,False,0
0.58,22.69,Evening,False,3.0,9.49,True,,False,False,1
0.62,21.74,Morning,True,2.39,7.6,True,Medium,True,,1
0.86,32.33,Evening,True,3.9,7.11,False,Low,True,True,0
0.71,27.44,Morning,True,4.63,7.45,False,,False,False,1
0.9,25.96,Morning,False,2.36,1.28,False,Low,False,True,0
0.51,34.23,Evening,True,1.7,6.41,False,Low,,True,1
0.72,20.57,Afternoon,False,8.57276326692665,5.77,True,High,False,True,1
0.34,34.47,Afternoon,False,2.15,2.21,True,,True,False,0
0.8,26.26,Afternoon,False,1.94,1.42,False,Low,True,False,0
0.61,23.27,Evening,False,4.51,7.7,False,High,True,True,1
0.66,32.75,Evening,True,1.3310686529040407,1.94,False,Medium,False,True,1
0.49,31.48,Afternoon,True,4.76,3.23,True,Low,False,True,0
0.77,30.67,Evening,True,2.43,6.18,False,Medium,False,False,0
0.62,21.48,Evening,False,2.1,4.71,False,High,True,False,1
0.33,31.11,Morning,False,2.71,3.97,True,Low,True,False,0
0.82,26.47,Afternoon,False,6.866785952691216,7.0,True,Low,True,,1
0.66,21.98,Afternoon,True,3.31,4.46,False,Medium,False,False,1
0.36,21.08,Morning,False,2.45,2.4255861251617206,False,High,True,True,0
0.59,22.76,Afternoon,True,1.7,2.63,True,Low,True,False,1
0.51,22.21,Evening,True,4.88,6.33,False,High,True,False,0
0.87,30.58,Afternoon,True,2.97,5.48,True,,True,True,1
0.45,29.6,Afternoon,True,4.9,3.18,False,Low,True,False,1
0.55,31.86,Evening,False,2.06,1.87,True,Medium,True,,1
0.78,27.11,Afternoon,True,1.45,6.08,True,Medium,False,False,1
0.9,26.16,Afternoon,True,4.39,2.77,True,Low,True,True,1
0.58,24.26,Afternoon,False,4.83,3.19,False,High,False,True,1
0.8,26.69,Morning,False,3.63,9.93,False,High,True,True,0
0.78,20.41,Morning,True,4.08,6.0,False,Medium,False,True,0
0.61,22.91,Morning,True,1.0,9.92,False,Medium,True,False,1
0.88,22.66,Morning,False,2.59,9.47,True,High,False,False,1
0.67,24.55,Evening,False,4.12,5.22,False,Medium,True,False,1
0.64,26.96,Evening,False,4.52,4.58,False,,False,True,1
0.74,24.18,Evening,True,1.95,2.2,True,Low,False,,0
0.7,20.28,Evening,True,4.49,6.931763199542668,False,Low,True,True,1
0.47,31.33,Morning,False,1.52,9.18,True,Medium,False,False,0
0.66,28.07,Evening,False,0.78,14.454521116768646,False,Medium,True,False,1
0.58,22.35,Afternoon,False,0.46,1.07,False,High,,True,1
0.88,30.94,Evening,False,1.41,2.87,False,High,False,True,0
0.81,24.75,Afternoon,True,1.54,7.8,False,High,False,False,1
0.46,31.47,Evening,False,1.82,8.33,True,High,True,False,0
0.59,32.36,Afternoon,True,3.15,5.7683769321312335,False,,True,False,1
0.34,33.53,Morning,False,0.65,8.61,True,,False,False,1
0.62,24.6,Evening,False,2.36,7.31,False,Medium,True,False,1
0.7,34.14,Morning,False,4.57262405361852,4.94,True,Low,False,,1
0.4,21.79,Morning,False,3.55,5.76,True,Low,False,True,1
0.32,32.66,Evening,False,4.85,8.79,True,Low,True,False,1
0.68,32.68,Afternoon,True,0.67,8.39,False,Medium,False,False,1
0.72,31.7,Morning,True,1.57,4.71,True,High,False,True,0
0.89,25.44,Morning,True,3.88,7.06,False,Medium,False,False,1
0.84,29.74,Evening,True,2.7,9.2,False,High,False,True,0
0.75,32.3,Afternoon,True,2.54,1.95,True,Low,True,False,0
0.34,27.62,Morning,True,4.56,4.39,True,Medium,True,False,1
0.67,33.47,Afternoon,False,4.51,6.21,True,Medium,False,,1
0.64,27.12,Afternoon,True,2.01,1.82,False,Medium,True,True,0
0.52,29.15,Afternoon,True,0.52,5.03,False,Low,True,False,1
0.82,27.02,Morning,True,7.665077581681656,9.63,True,High,True,,1
0.74,28.86,Evening,False,4.45,1.98,False,Medium,True,False,0
0.49,20.59,Evening,True,3.5,8.48,False,Medium,,True,0
0.43,23.33,Evening,True,0.94,6.62,True,Low,False,False,0
0.67,22.93,Evening,False,1.26,9.78,False,Medium,False,True,1
0.73,25.99,Evening,False,1.54,9.21,True,Medium,True,,0
0.59,21.44,Evening,False,0.55,3.58,True,Low,False,False,1
0.31,31.39,Evening,False,3.97,5.09,False,Medium,True,False,0
0.89,32.42,Evening,True,2.75,1.2,True,Medium,False,True,0
0.72,31.58,Evening,False,1.900986482375463,3.68,False,High,True,False,0
0.66,29.07,Morning,True,3.66,3.88,False,High,False,False,1
0.72,27.94,Afternoon,False,1.89,1.31,True,High,True,False,0
0.4,32.31,Afternoon,True,2.59,6.36,True,High,True,True,1
0.88,33.45,Evening,True,0.65,7.83,False,High,True,True,0
0.78,33.55,Morning,True,1.62,7.19,False,Medium,True,False,0
0.35,32.67,Morning,False,2.14,3.89,True,Low,False,False,0
0.63,27.12,Morning,True,3.66,1.31,True,High,False,False,1
0.9,31.11,Morning,False,4.71,1.06,True,Medium,False,,0
0.56,20.89,Afternoon,True,2.69,1.69,True,,True,True,1
0.56,33.85,Morning,False,2.23,2.12,False,High,False,True,1
0.69,25.69,Evening,True,1.88,2.52,False,Medium,True,True,1
0.82,32.22,Evening,False,4.81,6.38,True,Medium,False,True,1
0.75,34.92,Afternoon,True,2.78,5.59,True,Medium,True,False,1
0.37,29.1,Afternoon,False,1.92,1.13,False,High,False,True,0
0.54,21.48,Morning,True,3.34,2.53,True,High,False,True,1
0.87,34.8,Morning,True,1.99,3.76,False,Medium,True,False,0
0.65,25.07,Morning,True,4.42,7.21,False,,True,True,1
0.81,30.56,Morning,False,3.46,1.39,False,High,True,False,0
0.59,31.67,Morning,False,4.57,9.4,True,High,True,True,1
0.43,25.7,Evening,False,3.08,4.33,True,High,True,,0
0.66,26.94,Afternoon,False,2.94,6.13,True,,False,,0
0.5,32.84,Evening,False,4.763465611422676,4.16,False,Medium,False,True,1
0.77,29.19,Morning,True,1.47,7.17,False,Medium,True,True,1
0.7,32.11,Afternoon,True,1.67,6.47,False,,False,False,1
0.43,21.33,Evening,True,0.45,6.87,False,High,True,False,0
0.3,27.36,Evening,False,2.69,5.76,False,High,False,False,1
0.71,28.37,Evening,True,4.84,3.58,True,High,False,False,1
0.61,26.19,Morning,True,2.07,5.78,False,Low,False,False,0
0.64,31.15,Evening,False,4.01,4.25,False,Low,True,False,1
0.38,21.78,Evening,True,2.21,3.38,False,High,False,False,1
0.48,33.01,Morning,True,2.37,5.92,True,,False,False,1
0.48,29.15,Morning,False,3.7,7.58,True,Medium,True,False,1
0.68,22.07,Evening,True,2.4,9.24,True,High,True,False,1
0.89,33.09,Evening,False,0.82,7.19,True,Low,True,False,0
0.73,25.83,Afternoon,True,1.4,2.8,False,High,True,False,1
0.76,24.26,Afternoon,True,0.4,7.81,True,Low,,True,0
0.44,29.8,Morning,True,1.2296161595857311,3.55,True,Low,,,1
0.45,32.08,Morning,True,4.27,3.82,False,Medium,False,False,0
0.68,23.59,Evening,False,4.42,3.47,False,Low,True,False,1
0.36,32.96,Afternoon,True,0.9049602315672687,2.82,False,,False,,0
0.41,26.95,Evening,False,1.48,5.79,True,Low,False,,0
0.84,27.97,Morning,True,8.189624690281178,2.548128419589894,False,Low,False,False,1
0.57,29.21,Evening,False,1.1045984060334,4.92,True,Medium,False,True,1
0.41,20.14,Afternoon,True,3.34,9.41,False,Medium,,True,0
0.72,21.08,Morning,False,0.81,3.62,False,High,True,True,0
0.71,22.1,Evening,False,2.11,9.38,True,Medium,True,False,1
0.76,29.91,Afternoon,True,2.86,2.06,True,Medium,True,True,1
0.37,22.99,Evening,False,3.56,7.96,False,High,True,,0
0.73,26.05,Evening,True,3.44,7.14,False,Low,True,False,0
0.67,27.49,Evening,True,1.25,5.62,False,Medium,True,False,1
0.4,21.32,Afternoon,False,4.57,7.24,False,Medium,False,False,0
0.75,24.83,Morning,False,3.57,1.06,True,Low,True,False,0
0.87,26.65,Morning,False,4.39,9.67,True,Low,,True,1
0.86,26.27,Morning,False,1.15,1.73,False,High,,True,0
0.36,23.63,Afternoon,False,1.29,8.7,True,Low,True,True,0
0.64,32.05,Morning,False,3.86,9.4,False,Medium,True,False,1
0.82,21.61,Morning,False,1.79,9.54,True,Low,True,True,0
0.73,28.17,Afternoon,True,4.16,9.12,False,High,True,True,1
0.71,26.47,Evening,False,4.61,7.16,False,Low,True,True,0
0.7,22.83,Morning,True,1.96,9.94,False,Medium,False,True,1
0.39,29.67,Afternoon,False,1.27,6.52,True,Low,False,False,0
0.61,25.14,Morning,False,2.34,8.11,True,Low,True,True,1
0.67,34.06,Evening,True,2.78,4.99,False,High,False,True,1
0.53,23.75,Afternoon,False,0.85,4.56,True,Medium,False,True,1
0.31,30.14,Afternoon,False,3.11,3.06,False,Medium,True,,0
